OT_ID,Equipo_ID,Nombre_Equipo,Servicio,Criticidad,Marca,Fecha,Tipo_OT,Tipo_Falla,MTTR_Horas,Costo_OT_COP,Tecnico,Estado_OT
OT-000001,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-01-04,Correctivo,Mecánica,4.7,5494000,Andrés Peña,Cerrada
OT-000002,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-04-23,Correctivo,Mecánica,1.6,1658000,Diana Vargas,Cerrada
OT-000003,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-04-29,Correctivo,Mecánica,0.5,6753000,Paola Gómez,Cerrada
OT-000004,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-06-14,Correctivo,Eléctrica,9.4,4887000,Miguel Torres,Cerrada
OT-000005,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-07-03,Correctivo,Mecánica,4.0,3739000,Andrés Peña,Cerrada
OT-000006,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-04-12,Correctivo,Sensor/Transductor,5.6,4439000,Andrés Peña,Cerrada
OT-000007,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-04-16,Correctivo,Software,1.4,543000,Laura Martínez,Cerrada
OT-000008,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-06-09,Correctivo,Desgaste,4.2,3553000,Paola Gómez,Cerrada
OT-000009,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-07-10,Correctivo,Mecánica,4.8,25038000,Miguel Torres,Cerrada
OT-000010,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-01-01,Correctivo,Accesorio,1.5,3142000,Laura Martínez,Cerrada
OT-000011,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-03-22,Correctivo,Mecánica,0.5,1183000,Paola Gómez,Cerrada
OT-000012,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-04-13,Correctivo,Eléctrica,0.7,3788000,Carlos Rodríguez,Cerrada
OT-000013,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-06-14,Correctivo,Calibración,4.3,1624000,Carlos Rodríguez,Cerrada
OT-000014,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-07-22,Correctivo,Accesorio,0.5,6201000,Sandra López,Cerrada
OT-000015,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-12-02,Correctivo,Eléctrica,5.6,16042000,Paola Gómez,Cerrada
OT-000016,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2021-12-30,Preventivo,PM Programado,3.7,467510,Diana Vargas,Cerrada
OT-000017,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-03-25,Preventivo,PM Programado,1.7,788785,Carlos Rodríguez,Cerrada
OT-000018,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-06-28,Preventivo,PM Programado,1.4,1152430,Andrés Peña,Pendiente
OT-000019,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-09-29,Preventivo,PM Programado,1.9,728990,Jhon Castro,Cerrada
OT-000020,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-12-27,Preventivo,PM Programado,2.9,711478,Miguel Torres,Cerrada
OT-000021,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-03-29,Preventivo,PM Programado,2.8,813966,Jhon Castro,Cerrada
OT-000022,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-06-19,Preventivo,PM Programado,2.4,368007,Laura Martínez,Pendiente
OT-000023,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-09-16,Preventivo,PM Programado,1.4,974485,Paola Gómez,Cerrada
OT-000024,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-12-21,Preventivo,PM Programado,1.6,580581,Sandra López,Cerrada
OT-000025,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-03-18,Preventivo,PM Programado,2.7,911572,Laura Martínez,Pendiente
OT-000026,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-06-18,Preventivo,PM Programado,3.1,456447,Sandra López,Pendiente
OT-000027,BIO-0001,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-09-13,Preventivo,PM Programado,3.3,943271,Laura Martínez,Cerrada
OT-000028,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-01-22,Correctivo,Eléctrica,0.9,3620000,Paola Gómez,Cerrada
OT-000029,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-01-31,Correctivo,Software,3.7,1345000,Diana Vargas,Cerrada
OT-000030,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-02-13,Correctivo,Eléctrica,5.9,47467000,Jhon Castro,Cerrada
OT-000031,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-02-17,Correctivo,Sensor/Transductor,6.7,3272000,Paola Gómez,Cerrada
OT-000032,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-04-28,Correctivo,Calibración,3.2,1946000,Laura Martínez,Cerrada
OT-000033,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-06-09,Correctivo,Sensor/Transductor,2.9,3594000,Jhon Castro,Cerrada
OT-000034,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-07-02,Correctivo,Eléctrica,0.8,8281000,Sandra López,Cerrada
OT-000035,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-07-10,Correctivo,Sensor/Transductor,2.2,1798000,Miguel Torres,En proceso
OT-000036,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-07-11,Correctivo,Mecánica,6.3,623000,Sandra López,Cerrada
OT-000037,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-07-17,Correctivo,Sensor/Transductor,6.2,8066000,Laura Martínez,Cerrada
OT-000038,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-12-08,Correctivo,Software,4.5,12145000,Paola Gómez,Cerrada
OT-000039,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-12-10,Correctivo,Accesorio,17.3,10300000,Jhon Castro,Cerrada
OT-000040,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-01-30,Correctivo,Sensor/Transductor,3.3,4364000,Andrés Peña,Cerrada
OT-000041,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-02-01,Correctivo,Software,12.9,1499000,Sandra López,En proceso
OT-000042,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-04-18,Correctivo,Mecánica,6.7,6236000,Miguel Torres,Cerrada
OT-000043,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-07-26,Correctivo,Accesorio,3.1,15560000,Diana Vargas,Cerrada
OT-000044,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-09-04,Correctivo,Software,2.3,9932000,Jhon Castro,Cerrada
OT-000045,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-11-12,Correctivo,Mecánica,3.3,13720000,Carlos Rodríguez,Cerrada
OT-000046,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-12-02,Correctivo,Eléctrica,1.4,7504000,Andrés Peña,En proceso
OT-000047,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-02-20,Correctivo,Eléctrica,2.7,2361000,Sandra López,En proceso
OT-000048,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-07-23,Correctivo,Mecánica,7.8,11401000,Sandra López,Cerrada
OT-000049,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-08-08,Correctivo,Eléctrica,5.0,952000,Paola Gómez,Cerrada
OT-000050,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-08-12,Correctivo,Sensor/Transductor,6.2,1917000,Jhon Castro,Cerrada
OT-000051,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-08-25,Correctivo,Desgaste,6.1,2963000,Miguel Torres,Cerrada
OT-000052,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-09-23,Correctivo,Eléctrica,3.7,2219000,Carlos Rodríguez,Cerrada
OT-000053,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-01-04,Preventivo,PM Programado,3.7,433075,Laura Martínez,Pendiente
OT-000054,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-03-30,Preventivo,PM Programado,1.8,716476,Paola Gómez,Cerrada
OT-000055,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-07-01,Preventivo,PM Programado,3.0,1093100,Sandra López,Cerrada
OT-000056,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-09-26,Preventivo,PM Programado,3.2,599157,Diana Vargas,Cerrada
OT-000057,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-01-01,Preventivo,PM Programado,1.1,515161,Diana Vargas,Cerrada
OT-000058,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-03-22,Preventivo,PM Programado,3.3,1100595,Sandra López,Cerrada
OT-000059,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-06-27,Preventivo,PM Programado,4.0,567342,Miguel Torres,Cerrada
OT-000060,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-09-19,Preventivo,PM Programado,2.4,509068,Diana Vargas,Cerrada
OT-000061,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-12-22,Preventivo,PM Programado,3.7,351147,Sandra López,Cerrada
OT-000062,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-03-21,Preventivo,PM Programado,1.4,888102,Sandra López,Cerrada
OT-000063,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-06-15,Preventivo,PM Programado,3.0,702079,Miguel Torres,Cerrada
OT-000064,BIO-0002,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-09-11,Preventivo,PM Programado,1.7,387432,Andrés Peña,Cerrada
OT-000065,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-05-16,Correctivo,Mecánica,4.9,7109000,Diana Vargas,Cerrada
OT-000066,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-07-20,Correctivo,Calibración,2.6,1592000,Diana Vargas,Cerrada
OT-000067,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-09-18,Correctivo,Calibración,10.6,957000,Laura Martínez,Cerrada
OT-000068,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-09-24,Correctivo,Mecánica,1.5,774000,Laura Martínez,Cerrada
OT-000069,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-11-17,Correctivo,Desgaste,2.1,7973000,Andrés Peña,Cerrada
OT-000070,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-11-23,Correctivo,Accesorio,2.4,4390000,Andrés Peña,Cerrada
OT-000071,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-04-04,Correctivo,Eléctrica,35.4,1564000,Diana Vargas,Cerrada
OT-000072,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-04-24,Correctivo,Mecánica,1.6,1959000,Laura Martínez,Cerrada
OT-000073,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-06-20,Correctivo,Accesorio,5.7,20234000,Paola Gómez,Cerrada
OT-000074,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-07-15,Correctivo,Mecánica,0.5,1617000,Diana Vargas,Cerrada
OT-000075,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-12-31,Correctivo,Sensor/Transductor,0.8,7099000,Laura Martínez,Cerrada
OT-000076,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-01-16,Correctivo,Eléctrica,17.0,303000,Carlos Rodríguez,Cerrada
OT-000077,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-03-19,Correctivo,Mecánica,1.7,2824000,Diana Vargas,Cerrada
OT-000078,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-04-19,Correctivo,Eléctrica,7.0,6614000,Sandra López,Cerrada
OT-000079,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-05-22,Correctivo,Sensor/Transductor,2.5,13896000,Andrés Peña,Cerrada
OT-000080,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-06-25,Correctivo,Accesorio,6.6,2119000,Sandra López,Cerrada
OT-000081,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-07-09,Correctivo,Software,3.0,765000,Carlos Rodríguez,Cerrada
OT-000082,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-07-10,Correctivo,Eléctrica,28.0,3191000,Sandra López,Cerrada
OT-000083,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-09-25,Correctivo,Mecánica,0.5,3746000,Laura Martínez,Cerrada
OT-000084,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-12-05,Correctivo,Calibración,4.0,21142000,Miguel Torres,Cerrada
OT-000085,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-12-05,Correctivo,Eléctrica,13.4,2464000,Andrés Peña,Cerrada
OT-000086,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-01-04,Preventivo,PM Programado,1.0,450657,Diana Vargas,Pendiente
OT-000087,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-03-28,Preventivo,PM Programado,1.9,980406,Paola Gómez,Pendiente
OT-000088,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-06-28,Preventivo,PM Programado,2.1,445896,Diana Vargas,Cerrada
OT-000089,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2022-09-30,Preventivo,PM Programado,2.8,833121,Diana Vargas,Pendiente
OT-000090,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-01-01,Preventivo,PM Programado,2.1,748865,Laura Martínez,Cerrada
OT-000091,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-04-01,Preventivo,PM Programado,2.4,1153823,Laura Martínez,Cerrada
OT-000092,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-06-29,Preventivo,PM Programado,2.1,1147972,Sandra López,Cerrada
OT-000093,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-09-28,Preventivo,PM Programado,3.2,731478,Carlos Rodríguez,Cerrada
OT-000094,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2023-12-26,Preventivo,PM Programado,2.0,333952,Paola Gómez,Pendiente
OT-000095,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-03-20,Preventivo,PM Programado,1.3,995241,Andrés Peña,Cerrada
OT-000096,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-06-24,Preventivo,PM Programado,2.0,829661,Diana Vargas,Cerrada
OT-000097,BIO-0003,Ventilador Mecánico Adulto,UCI Adultos,Crítico,Draeger,2024-09-22,Preventivo,PM Programado,1.1,1048383,Paola Gómez,Cerrada
OT-000098,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-01-25,Correctivo,Sensor/Transductor,1.8,1276000,Andrés Peña,Cerrada
OT-000099,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-03-31,Correctivo,Sensor/Transductor,1.3,6757000,Carlos Rodríguez,Cerrada
OT-000100,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-04-11,Correctivo,Mecánica,13.6,3934000,Diana Vargas,Cerrada
OT-000101,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-04-24,Correctivo,Calibración,2.9,2669000,Carlos Rodríguez,Cerrada
OT-000102,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-06-22,Correctivo,Mecánica,11.0,6671000,Sandra López,Cerrada
OT-000103,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-08-23,Correctivo,Accesorio,6.6,392000,Jhon Castro,Cerrada
OT-000104,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-10-20,Correctivo,Eléctrica,4.1,4375000,Andrés Peña,Cerrada
OT-000105,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-01-17,Correctivo,Sensor/Transductor,15.1,2421000,Paola Gómez,Cerrada
OT-000106,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-02-10,Correctivo,Sensor/Transductor,7.3,8288000,Jhon Castro,Cerrada
OT-000107,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-05-15,Correctivo,Software,1.3,1491000,Carlos Rodríguez,Cerrada
OT-000108,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-06-15,Correctivo,Software,1.2,2630000,Miguel Torres,Cerrada
OT-000109,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-06-20,Correctivo,Software,9.2,1373000,Laura Martínez,Cerrada
OT-000110,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-09-02,Correctivo,Software,6.3,4550000,Jhon Castro,Cerrada
OT-000111,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-09-26,Correctivo,Desgaste,4.3,6106000,Paola Gómez,Cerrada
OT-000112,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-10-23,Correctivo,Accesorio,3.6,552000,Carlos Rodríguez,Cerrada
OT-000113,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-11-08,Correctivo,Software,0.9,7735000,Carlos Rodríguez,Cerrada
OT-000114,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-12-01,Correctivo,Software,0.7,5515000,Sandra López,Cerrada
OT-000115,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-02-07,Correctivo,Mecánica,1.9,6194000,Paola Gómez,Cerrada
OT-000116,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-05-29,Correctivo,Calibración,3.4,336000,Jhon Castro,Cerrada
OT-000117,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-05-29,Correctivo,Accesorio,0.5,2549000,Sandra López,Cerrada
OT-000118,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-05-30,Correctivo,Sensor/Transductor,9.5,5380000,Sandra López,Cerrada
OT-000119,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-07-27,Correctivo,Software,8.7,5525000,Diana Vargas,Cerrada
OT-000120,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-08-08,Correctivo,Mecánica,14.5,1424000,Sandra López,Cerrada
OT-000121,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-08-15,Correctivo,Accesorio,1.1,1701000,Carlos Rodríguez,Cerrada
OT-000122,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-09-03,Correctivo,Eléctrica,6.2,1544000,Carlos Rodríguez,Cerrada
OT-000123,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-09-04,Correctivo,Eléctrica,2.4,1850000,Laura Martínez,Cerrada
OT-000124,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-09-18,Correctivo,Eléctrica,3.5,5435000,Carlos Rodríguez,Cerrada
OT-000125,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-09-22,Correctivo,Sensor/Transductor,3.6,5227000,Laura Martínez,Cerrada
OT-000126,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-11-29,Correctivo,Mecánica,5.9,1923000,Sandra López,Cerrada
